filepath,transcription_clean,prediction
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2014t0.wav,turn the volume on the radio down,tern volume underan een can
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2018h0.wav,warmth,wy
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2017i0.wav,subtract,sid tract
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2011u0.wav,imagery,in the jew
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks201240.wav,loyal,lal
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks201060.wav,average,average
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2014r0.wav,you can save water in your bathtub,yo cinn't say one an that tone
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2010v0.wav,cross,cirls
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks201150.wav,eight,the
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2016x0.wav,six,sex
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2017s0.wav,thatch,a
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks201820.wav,trauma,tram
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2018r0.wav,yankee,yes sin
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2010b0.wav,beyond,beyond
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2011a0.wav,explosion,each low shone
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2014n0.wav,the briefcase is open now,a bot casil olpen now
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks201/ks2013o0.wav,rugby, fr i 
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6z0.wav,smashed,smal
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c7a0.wav,steakhouse,steak cas
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6b0.wav,search in between the couch cushions,er a was plen ly counc ons
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c1w0.wav,join,shoin
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c260.wav,lure,lor
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c620.wav,eating blueberries gives you blue hands,eating lul berries gived you will hanswer
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c080.wav,background,back ground 
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c350.wav,overalls,ohveralls
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c0x0.wav,dashboard,gash bord
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c170.wav,endure,can you do 
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c1c0.wav,fancy, sancy
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c3a0.wav,payouts,pe out
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c2b0.wav,midnight,midnight
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c0d0.wav,biology,byology
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c3q0.wav,scallywag,scaly ac
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c5w0.wav,when will we go on vacation,when wen wee on vacation
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c7u0.wav,three,three
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c840.wav,truck,er
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c8t0.wav,yields,yeelds
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c7k0.wav,super,super
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c8j0.wav,wavelet,wayeflit
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6d0.wav,the flea chased the dog,at lee case chase the dog
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c640.wav,sir have you seen my coat,sir hav thes he metco
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c600.wav,because my leg is sore i can't play,be cous  is spo i can't san
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6p0.wav,seven,seven
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c1m0.wav,hawthorne,hatem
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c0n0.wav,childhood,chirial tired
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c2l0.wav,nothing,mothing
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c680.wav,i'll rent an apartment tomorrow,all rent ini partment to morrow
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c5y0.wav,he breathed a sigh of relief,he prmieved thi side ev relief
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c7z0.wav,tourists,tis
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c890.wav,unroll,unroll
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6c0.wav,i'm ready to go home,im ready to go home
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c2g0.wav,musician,musician
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c1h0.wav,fragment,frag men 
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c3f0.wav,points,points
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c2w0.wav,two four seven six three seven four,i efor seven six three seven four
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c630.wav,that was an odd decision,that was an odd dessinrom
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c500.wav,the flood took a car down the street,e wod took the car a car down street intis keep him
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c8e0.wav,vaulted,volted
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6g0.wav,my clothes are wet from the rain,my cloth are what rian
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c5h0.wav,she'll be ready very soon,she'll be ready very soon
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c7f0.wav,studio,still yo
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c760.wav,spoons,spoons
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c670.wav,the car went too fast,the carl went two fast
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c300.wav,obstacle,obsticle
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c0s0.wav,cooperate,cooperate
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c120.wav,disrupt,tes rubed
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c030.wav,archrival,art thrivfal
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c1r0.wav,hourly,how arely
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c210.wav,lethargic,lettargic
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c3h0.wav,push,celush
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6u0.wav,shoe,she
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c740.wav,sour,sou
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c650.wav,i have ice cream for you,i have mesen for you
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6a0.wav,go inside and eat your dinner,don't say neet your denit
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c8o0.wav,women,wonen
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c7p0.wav,temptation,enpatien
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c5r0.wav,her veins pop out when she is mad,her veins pap out where she is mad
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c610.wav,he was really nice to us,he was relly nice to us
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c6i0.wav,the zebra entered the brush with care,tuse brear and thered the breash with care
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c3l0.wav,represents,orepus en
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c690.wav,i thought i heard new voices,i thought i heard nin voices
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c5z0.wav,don't leave so soon,don't leave so soon
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t680.wav,i'll rent an apartment tomorrow,oly ina partment o marrow
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t5y0.wav,he breathed a sigh of relief,he bleaded the sih af relaton
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t1m0.wav,hawthorne,hatter
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t2l0.wav,nothing,nothing
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t0n0.wav,childhood,ti a tad
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t600.wav,because my leg is sore i can't play,has marya te si cant play
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6p0.wav,seven,seven
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t7k0.wav,super,sepa
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t8j0.wav,wavelet,lain let
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6d0.wav,the flea chased the dog,the three chess the dork
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t640.wav,sir have you seen my coat,seper have se might coat
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6z0.wav,smashed,mased
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t7a0.wav,steakhouse,stet hass
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6b0.wav,search in between the couch cushions,said chanby chane cuch cishions
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t080.wav,background,back gont
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t1w0.wav,join,join
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t260.wav,lure,weere
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t620.wav,eating blueberries gives you blue hands,in implyware is gines diper hands
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t0x0.wav,dashboard,thatd bard
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t170.wav,endure,in door
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t2v0.wav,two six nine zero two two zero,two six niht serte tus yaro
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t350.wav,overalls,aras
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t3a0.wav,payouts,peaps
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t1c0.wav,fancy,tancy
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t0d0.wav,biology,byl aty
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t2b0.wav,midnight,men night
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t3q0.wav,scallywag,scally waik
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t7u0.wav,three,twoe
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t840.wav,truck,cat
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t5w0.wav,when will we go on vacation,e noly gon lhey canson
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t8t0.wav,yields,yeld
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t690.wav,i thought i heard new voices,i thought i heard me voice wis
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t5z0.wav,don't leave so soon,don't esa sin
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6i0.wav,the zebra entered the brush with care,heszibe and twered the besh wis care
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t5j0.wav,will you sing this song,la sing e son
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t3l0.wav,represents,a prisent
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6a0.wav,go inside and eat your dinner,olinside in et er dinner
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t8o0.wav,women,won men
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t5r0.wav,her veins pop out when she is mad,havone pap out whent she has mad
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t610.wav,he was really nice to us,he lasimalianate to us
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t7p0.wav,temptation,tantation
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t0s0.wav,cooperate,clapright
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t120.wav,disrupt,this rap
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t300.wav,obstacle,ap tico
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t1r0.wav,hourly,arond
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t210.wav,lethargic,thesireji
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t030.wav,archrival,at chive
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t3h0.wav,push,bush
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6u0.wav,shoe,she
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t740.wav,sour,souer
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t650.wav,i have ice cream for you,i have ice cin for you
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t7z0.wav,tourists,two rd
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t890.wav,unroll,an no
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6c0.wav,i'm ready to go home,a winy tigo hop
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t0i0.wav,cashflow,cat fel
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t3f0.wav,points,points
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t1h0.wav,fragment,fragment
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t2w0.wav,two four seven six three seven four,two far seventh six faye ov  for
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t630.wav,that was an odd decision,that wasnt i thes sergon
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t500.wav,the flood took a car down the street,the flod took a card on the sfeet
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t6g0.wav,my clothes are wet from the rain,my close aure ap mary
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t8e0.wav,vaulted,bottet
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t7f0.wav,studio,stidio
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t5h0.wav,she'll be ready very soon,helbiaety marrie so
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t760.wav,spoons,then
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t670.wav,the car went too fast,the car went to fas
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d1m0.wav,hawthorne,hamtonly
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d2l0.wav,nothing,he
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d0n0.wav,childhood,child hood
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d600.wav,because my leg is sore i can't play,in cis me e mayas soon li can't a
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6p0.wav,seven,sad in
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d7k0.wav,super,souper
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d8j0.wav,wavelet,mave let
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d640.wav,sir have you seen my coat,sil e you seem le coate
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d080.wav,background,bat gronded
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d1w0.wav,join,to win
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d260.wav,lure,lua
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d620.wav,eating blueberries gives you blue hands,eing te blum ay can him leu ens
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d0x0.wav,dashboard,tash boyd
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d170.wav,endure,in dor
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d2v0.wav,two six nine zero two two zero, two sick ind de ito to zeo
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d350.wav,overalls,overlalls
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6b0.wav,search in between the couch cushions,sain neton account to cot hinds
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d7a0.wav,steakhouse,bat tey ca
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d3q0.wav,scallywag,gally rag
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d0d0.wav,biology,by allogy
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d2b0.wav,midnight,min night
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d1c0.wav,fancy,sheanse
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d840.wav,truck,to who mut
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d7u0.wav,three,the me
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d5w0.wav,when will we go on vacation,we mi they gon a shan
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d8t0.wav,yields,yelds
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6i0.wav,the zebra entered the brush with care,ta neghbo entin te bushuwas care
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d5j0.wav,will you sing this song,well you seing the song
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d3l0.wav,represents,natesets
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d690.wav,i thought i heard new voices,i saw had no voicees
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d5z0.wav,don't leave so soon,a sic soon
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d5r0.wav,her veins pop out when she is mad,he mains pup op an ches wi
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d610.wav,he was really nice to us,he was rilling ice toce
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d7p0.wav,temptation,timtation
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6a0.wav,go inside and eat your dinner,go and side eg o andinhe
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d300.wav,obstacle,abtesitical
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d1r0.wav,hourly,ohly
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d210.wav,lethargic,is night
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d030.wav,archrival,i tribule
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6u0.wav,shoe,he hell
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d740.wav,sour,how
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d650.wav,i have ice cream for you,i av ice cleam po you
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d890.wav,unroll,unwoll
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d2w0.wav,two four seven six three seven four,two fomi ses sac tased a e flor
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d630.wav,that was an odd decision,thalan ar desesion
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d3f0.wav,points,woit
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d1h0.wav,fragment,backinmate
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6c0.wav,i'm ready to go home,e
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d2g0.wav,musician,yusician
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d760.wav,spoons,stins
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d670.wav,the car went too fast,the poleri tear lans
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d7f0.wav,studio,studio
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d5h0.wav,she'll be ready very soon,suol e leaning mary said
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d8e0.wav,vaulted,not ded
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0d/ksd0d6g0.wav,my clothes are wet from the rain,i font i wet hol awan
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f740.wav,sour,sour
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6u0.wav,shoe,su
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f650.wav,i have ice cream for you,i ave li speak fo you
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f3h0.wav,push,put
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f1r0.wav,hourly,orly
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f210.wav,lethargic,lit ar jit
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f030.wav,archrival,ar cael
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f300.wav,obstacle,obstecle
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f0s0.wav,cooperate,her coroperat
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f120.wav,disrupt,tis u
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f690.wav,i thought i heard new voices,a i heard new moices
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f5z0.wav,don't leave so soon,don'tly hav so suith
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f5j0.wav,will you sing this song,well you seen mhis o asliat
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f3l0.wav,represents,rtusents
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6i0.wav,the zebra entered the brush with care,thi zebra antered the bresh was the care
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6a0.wav,go inside and eat your dinner,good side the eardener
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f610.wav,he was really nice to us,he was rearly mosed us
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f5r0.wav,her veins pop out when she is mad,her vades pop out wan she is bad
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f7p0.wav,temptation,te tation
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f8o0.wav,women,whoeet
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f760.wav,spoons,spurms
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f670.wav,the car went too fast,li tar went to fast
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f7f0.wav,studio,studio
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f5h0.wav,she'll be ready very soon,shillbe any mary serv
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f8e0.wav,vaulted,wile bid
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6g0.wav,my clothes are wet from the rain,my clotes are wat for liid
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f500.wav,the flood took a car down the street,te blood tok e hard otles street
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f890.wav,unroll,unral
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f3f0.wav,points,poyts
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f1h0.wav,fragment,bag met 
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f0i0.wav,cashflow,cash lo
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6c0.wav,i'm ready to go home,i reary you know home
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f2w0.wav,two four seven six three seven four,two for sermons six te son for
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f7u0.wav,three, three
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f840.wav,truck,tu
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f5w0.wav,when will we go on vacation,wold wully on mecation
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f8t0.wav,yields,yeal
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f0d0.wav,biology,viology
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f2b0.wav,midnight,midlight
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f1c0.wav,fancy,thansy
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f3a0.wav,payouts,thay ut
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f3q0.wav,scallywag,stelly lad
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6z0.wav,smashed,man
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f6b0.wav,search in between the couch cushions,serch o retun the couch pushes
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f7a0.wav,steakhouse,stak out
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23f/ks23f0x0.wav,dashboard,dash ford
