,target_text,pred_str
1912,PUSH,PUSH
1913,NAPKIN,NAPKIN
1914,CHAIR,CHAIR
1915,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
1916,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
1917,SHEEPDOG,SHEEPDOG
1918,SMOOTHLY,SMOOTHLY
1919,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
1920,NUCLEAR,NUCLEAR
1921,SILVER ROBOT TOYS ARE THE BEST,SILSILVER ROBOT TOYS ARE THE BEST
1922,ADVANTAGE,ADVANTAGE
1923,HOMEMAKING,HOMEMAKING
1924,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESERT
1925,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVISION DURING DINNER
1926,IS THAT GIRL CHEWING GUM,IS THAT GIRL CHEWING GUM
1927,RAGTIME,RAGTIME
1928,WHITE,WHITE
1929,SWOOP,SWOOP
1930,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A GIRAFFE
1931,KINGPIN,KINGPIN
1932,MCDONALD,MCDONALD
1933,DESIGN,DESIGN
1934,ETHNIC,ETHNIC
1935,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
1936,PAGE,PAGE
1937,UPDATED,UPDATED
1938,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING IN CAIRO
1939,STEPFATHER,STEPFATHER
1940,THROWER,THROWER
1941,TWO,TWO
1942,SPRINGHILL,SPRINGHILL
1943,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT JUICE
1944,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
1945,BOOMERANG,BOOMERANG
1946,MOHAWK,MOHAWK
1947,FIVE,FIVE
1948,PICTURE,PICTURE
1949,SCRAPBOOK,SCRAPBOOK
1950,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
1951,WOOLEN,WOOLEN
1952,THANKS,THANKS
1953,TOYOTA,TOYOTA
1954,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
1955,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
1956,BEHIND,BEHIND
1957,ROYAL,ROYAL
1958,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
1959,SINGER,SINGER
1960,SPOONS,SPOONS
1961,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
1962,ICEBERG,ICEBERG
1963,LOGIC,LOGIC
1964,ATHLETE,ATHLETE
1965,OFFSHORE,OFFSHORE
1966,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
1967,CRENSHAW,CRENSHAW
1968,EASIER,EASIER
1969,PUSH,PUSH
1970,GUMSHOE,GUMSHOE
1971,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
1972,CHAIR,CHAIR
1973,NAPKIN,NAPKIN
1974,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
1975,SUBMIT,SUBMIT
1976,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
1977,WAGGING,WAGGING
1978,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
1979,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
1980,WAGGING,WAGGING
1981,SUBMIT,SUBMIT
1982,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
1983,NAPKIN,NAPKIN
1984,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
1985,PUSH,PUSH
1986,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
1987,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
1988,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
1989,WOOLEN,WOOLEN
1990,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
1991,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
1992,THANKS,THANKS
1993,TOYOTA,TOYOTA
1994,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
1995,BEHIND,BEHIND
1996,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
1997,SPOONS,SPOONS
1998,I COLLECT STAMPS FROM VIETNAM,I COLLECT STAMPS FROM VIETNAM
1999,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
2000,CRENSHAW,CRENSHAW
2001,EASIER,EASIER
2002,OFFSHORE,OFFSHORE
2003,ICEBERG,ICEBERG
2004,ATHLETE,ATHLETE
2005,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
2006,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
2007,SHEEPDOG,SHEEPDOG
2008,HOMEMAKING,HOMEMAKING
2009,ADVANTAGE,ADVANTAGE
2010,NUCLEAR,NUCLEAR
2011,CIVILIZED,CIVILIZED
2012,SILVER ROBOT TOYS ARE THE BEST,SILVER ROBOT TOYS ARE THE BEST
2013,RAGTIME,RAGTIME
2014,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVISION DURING DINNER
2015,IS THAT GIRL CHEWING GUM,IS THAT GIRL CHEWING GUM
2016,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESERT
2017,SWOOP,SWOOP
2018,WHITE,WHITE
2019,STEPFATHER,STEPFATHER
2020,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING SING IN CAIRO
2021,UPDATED,UPDATED
2022,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A GIRAFFE
2023,KINGPIN,KINGPIN
2024,MCDONALD,MCDONALD
2025,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
2026,DESIGN,DESIGN
2027,PAGE,PAGE
2028,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT TO THE BOOKS
2029,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT JUICE
2030,TWO,TWO
2031,SPRINGHILL,SPRINGHILL
2032,BOOMERANG,BOOMERANG
2033,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
2034,MOHAWK,MOHAWK
2035,FIVE,FIVE
2036,PICTURE,PICTURE
2037,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
2038,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
2039,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
2040,PUNISHMENT,PUNISHMENT
2041,GROWL,GROWL
2042,CAUTIOUSLY,CAUTIOUSLY
2043,MUTUAL,MUTUAL
2044,THE COWS' HAY WAS NOT DRY YET,THEHE COWS' HAY WAS NOT DRY YET
2045,SUBDUE,SUBDUE
2046,VOWEL,VOWEL
2047,COWBOYS,COWBOYS
2048,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
2049,OBVIOUS,OBVIOUS
2050,HUMOR,HUMOR
2051,LIFEBOATS,LIFEBOATS
2052,ASPIRE,ASPIRE
2053,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
2054,SHORTCHANGE,SHORTCHANGE
2055,SOUTHMOST,SOUTHMOST
2056,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
2057,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
2058,WONDERFUL,WONDERFUL
2059,TOWN,TOWN
2060,TEN,TEN
2061,ROCK,ROCK
2062,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
2063,SURROUND,SURROUND
2064,THE STOVE MELTED THE BUTTER,THTH STOVE MELTED THE BUTTER
2065,WEATHERPROOF,WEATHERPROOF
2066,WE'VE HAD A WONDERFUL NIGHT,E' WE'VE HAD A WONDERFUL NIGHT
2067,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
2068,PUSH,PUSH
2069,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
2070,SHADES,SHADES
2071,SMOKE,SMOKE
2072,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
2073,NOVEL,NOVEL
2074,CIRCUMSTANCE,CIRCUMSTANCE
2075,HERBALIST,HERBALIST
2076,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2077,SCHOOL,SCHOOL
2078,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
2079,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOKE FLOOD TOOK A CAR DOWN THE STREET
2080,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A A BEAUTIFUL RING FOR YOU
2081,BIRTHMARK,BIRTHMARK
2082,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
2083,MISJUDGED,MISJUDGED
2084,FEMALE,FEMALE
2085,THROUGHOUT,THROUGHOUT
2086,TWENTY,TWENTY
2087,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
2088,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
2089,ZUCCHINI,ZUCCHINI
2090,SPOONS,SPOONS
2091,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
2092,BATHE,BATHE
2093,JURORS,JURORS
2094,MATURE,MATURE
2095,DEPTHS,DEPTHS
2096,ENGRAVE,ENGRAVE
2097,OVERREACTION,OVERREACTION
2098,UNWILLING,UNWILLING
2099,STEAMSHIP,STEAMSHIP
2100,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH FOR THE LEADER
2101,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
2102,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
2103,PUNISHMENT,PUNISHMENT
2104,MUTUAL,MUTUAL
2105,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
2106,SUBDUE,SUBDUE
2107,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
2108,SHORTCHANGE,SHORTCHANGE
2109,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
2110,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
2111,ASPIRE,ASPIRE
2112,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
2113,LIFEBOATS,LIFEBOATS
2114,HUMOR,HUMOR
2115,COWBOYS,COWBOYS
2116,EARTHQUAKE,EARTHQUAKE
2117,OBVIOUS,OBVIOUS
2118,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
2119,ROCK,ROCK
2120,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
2121,TEN,TEN
2122,TOWN,TOWN
2123,WONDERFUL,WONDERFUL
2124,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
2125,WEATHERPROOF,WEATHERPROOF
2126,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
2127,SURROUND,SURROUND
2128,CIRCUMSTANCE,CIRCUMSTANCE
2129,NOVEL,NOVEL
2130,HERBALIST,HERBALIST
2131,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2132,SHADES,SHADES
2133,SMOKE,SMOKE
2134,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
2135,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
2136,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
2137,THROUGHOUT,THROUGHOUT
2138,TWENTY,TWENTY
2139,SPOONS,SPOONS
2140,ZUCCHINI,ZUCCHINI
2141,MISJUDGED,MISJUDGED
2142,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
2143,BIRTHMARK,BIRTHMARK
2144,FEMALE,FEMALE
2145,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
2146,SCHOOL,SCHOOL
2147,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
2148,UNWILLING,UNWILLING
2149,OVERREACTION,OVERREACTION
2150,DEPTHS,DEPTHS
2151,ENGRAVE,ENGRAVE
2152,BATHE,BATHE
2153,JURORS,JURORS
2154,MATURE,MATURE
2155,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
2156,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
2157,THROUGHOUT,THROUGHOUT
2158,TWENTY,TWENTY
2159,ZUCCHINI,ZUCCHINI
2160,SPOONS,SPOONS
2161,SCHOOL,SCHOOL
2162,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
2163,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
2164,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU
2165,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
2166,MISJUDGED,MISJUDGED
2167,FEMALE,FEMALE
2168,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH THE LEADER
2169,BATHE,BATHE
2170,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
2171,JURORS,JURORS
2172,MATURE,MATURE
2173,DEPTHS,DEPTHS
2174,ENGRAVE,ENGRAVE
2175,OVERREACTION,OVERREACTION
2176,UNWILLING,UNWILLING
2177,STEAMSHIP,STEAMSHIP
2178,HERBALIST,HERBALIST
2179,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2180,NOVEL,NOVEL
2181,CIRCUMSTANCE,CIRCUMSTANCE
2182,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
2183,SHADES,SHADES
2184,SMOKE,SMOKE
2185,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
2186,SURROUND,SURROUND
2187,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
2188,WEATHERPROOF,WEATHERPROOF
2189,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
2190,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
2191,PUSH,PUSH
2192,VOWEL,VOWEL
2193,SUBDUE,SUBDUE
2194,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
2195,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
2196,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
2197,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
2198,PUNISHMENT,PUNISHMENT
2199,GROWL,GROWL
2200,CAUTIOUSLY,CAUTIOUSLY
2201,MUTUAL,MUTUAL
2202,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
2203,ROCK,ROCK
2204,WONDERFUL,WONDERFUL
2205,TEN,TEN
2206,TOWN,TOWN
2207,COWBOYS,COWBOYS
2208,EARTHQUAKE,EARTHQUAKE
2209,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
2210,LIFEBOATS,LIFEBOATS
2211,HUMOR,HUMOR
2212,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
2213,ASPIRE,ASPIRE
2214,SHORTCHANGE,SHORTCHANGE
2215,SOUTHMOST,SOUTHMOST
2216,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
2217,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
2218,FEMALE,FEMALE
2219,BIRTHMARK,BIRTHMARK
2220,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
2221,MISJUDGED,MISJUDGED
2222,SCHOOL,SCHOOL
2223,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
2224,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
2225,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU
2226,THROUGHOUT,THROUGHOUT
2227,TWENTY,TWENTY
2228,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
2229,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
2230,ZUCCHINI,ZUCCHINI
2231,STEAMSHIP,STEAMSHIP
2232,UNWILLING,UNWILLING
2233,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
2234,BATHE,BATHE
2235,JURORS,JURORS
2236,MATURE,MATURE
2237,DEPTHS,DEPTHS
2238,ENGRAVE,ENGRAVE
2239,OVERREACTION,OVERREACTION
2240,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH THE LEADER
2241,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
2242,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
2243,SHADES,SHADES
2244,SMOKE,SMOKE
2245,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2246,HERBALIST,HERBALIST
2247,NOVEL,NOVEL
2248,CIRCUMSTANCE,CIRCUMSTANCE
2249,PUSH,PUSH
2250,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
2251,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
2252,SURROUND,SURROUND
2253,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
2254,WEATHERPROOF,WEATHERPROOF
2255,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
2256,VOWEL,VOWEL
2257,SUBDUE,SUBDUE
2258,MUTUAL,MUTUAL
2259,CAUTIOUSLY,CAUTIOUSLY
2260,PUNISHMENT,PUNISHMENT
2261,GROWL,GROWL
2262,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
2263,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
2264,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
2265,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
2266,WONDERFUL,WONDERFUL
2267,TEN,TEN
2268,TOWN,TOWN
2269,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
2270,ROCK,ROCK
2271,SHORTCHANGE,SHORTCHANGE
2272,SOUTHMOST,SOUTHMOST
2273,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
2274,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
2275,COWBOYS,COWBOYS
2276,EARTHQUAKE,EARTHQUAKE
2277,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
2278,OBVIOUS,OBVIOUS
2279,HUMOR,HUMOR
2280,LIFEBOATS,LIFEBOATS
2281,GREET ME WITH OPEN ARMS,GREET ME WITH OPEN ARMS
2282,I HOPE THE AIRPLANE WILL GET HIGHER,I HOPE THE AIRPLANE WILL GET HIGHER
2283,ONE NINE SEVEN FOUR THREE FIVE FOUR,ONE NINE SEVEN FOUR THREE FIVE FOUR
2284,WITHDRAWN,WITHDRAWN
2285,TECHNOLOGY,TECHNOLOGY
2286,WILL BEETS STAIN MY PANTS,WILL BEETS STAIN MY PANTS
2287,THE SPEAKER BOOMED FROM THE CAR,THE SPEAKER BOOMED FROM THE CAR
2288,RED,RED
2289,WE HAD A BIRDS EYE VIEW,WE HAD A BIRDS EYE VIEW
2290,DON'T THINK ABOUT IT TOO MUCH,DON'T THINK ABOUT IT TOO MUCH
2291,WILL YOU PLEASE BATHE,WILL YOU PLEASE BATHE
2292,SHOCK,SHOCK
2293,SOFTEN,SOFTEN
2294,COULD LIZARDS EVER TALK,COULD LIZARDS EVER TALK
2295,CONCEPT,CONCEPT
2296,DIRECT,DIRECT
2297,ANNOUNCE,ANNOUNCE
2298,HOPEFUL,HOPEFUL
2299,LENGTHEN,LENGTHEN
2300,BRONCO,BRONCO
2301,MOUTHS,MOUTHS
2302,GIVE KEITH A MOMENT TO THINK,GIVE KEITH A MOMENT TO THINK
2303,FOUR,FOUR
2304,PLAYOFFS,PLAYOFFS
2305,ARE YOU SURE THIS IS OKAY,ARE YOU SURE THIS IS OKAY
2306,SEIZURE,SEIZURE
2307,BUYING THE RING TOOK ALL OF MY MONEY,BUYING THE RING TOOK ALL OF MY MONEY
2308,STARVE,STARVE
2309,TOOTHPASTE,TOOTHPASTE
2310,UNFORTUNATE,UNFORTUNATEATE
2311,VASE,VASE
2312,TAKE OFF YOUR HAT PLEASE,TAKE OFF YOUR HAT PLEASE
2313,OBJECTED,OBJECTED
2314,PATHFINDER,PATHFINDER
2315,ARE ZEBRAS JUST STRIPED HORSES,ARE ZEBRAS JUST STRIPED HORSES
2316,OUR TENT CAN HOLD SIX PEOPLE,OUR TENT CAN HOLD SIX PEOPLE
2317,INTERRUPT,INTERRUPT
2318,LUMBERYARD,LUMBERYARD
2319,AWESOME,AWESOME
2320,FOUR SIX FOUR TWO NINE FIVE FOUR,FOUR SIX FOUR TWO NINE FIVE FOUR
2321,CULTURES,CULTURES
2322,EMPLOYEES,EMPLOYES
2323,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2324,SLOGAN,SLOGAN
2325,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
2326,PUSH,PUSH
2327,THE RAIN CHASED THE DIRT DOWN THE DRAIN,THE RAIN CHASED THE DIRT DOWN THE DRAIN
2328,YOU CAN SEE BUGS LIGHT UP THE SKY,YOU CAN SEE BUGS LIGHT UP THE SKY
2329,THOUSAND,THOUSAND
2330,TREASURE,TREASURE
2331,YELLOW,YELLOW
2332,I LIKE MY MEAT ON A COLD PLATTER,I LIKE MY MEAT ON A COLD PLATTER
2333,SAFEWAY,SAFEWAY
2334,MICROWAVES,MICROWAVES
2335,BIGFOOT,BIGFOOT
2336,FAITHFUL,FAITHFUL
2337,PLEASE OFFER THEM A DINNER MINT,PLEASE OFFER THEM A DINNER MINT
2338,SUGGEST,SUGGEST
2339,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MILKY WAY
2340,WASH,WASH
2341,HARDSHIP,HARDSHIP
2342,CHEWY,CHEWY
2343,NORMAL,NORMAL
2344,SPOONS,SPOONS
2345,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
2346,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
2347,TURN THE VOLUME ON THE RADIO DOWN,TURN THE VOLUME ON THE RADIO DOWN
2348,SUBTRACT,SUBTRACT
2349,KNIGHTS DON'T GET SCARED OF DRAGONS,KNIGHTS DON'T GET SCARED OF DRAGONS
2350,HANDSHAKE,HANDSHAKE
2351,CHALK,CHALK
2352,NINE,NINE
2353,TWO SIX FOUR ZERO TWO FOUR SIX,TWO SIX FOUR ZERO TWO SIX FOUR SIX
2354,THE HERD BECAME ANGRY AND STARTED A STAMPEDE,THE HERD BECAME ANGRY AND STARTED A STAMPEDE
2355,TRAUMA,TRAUMA
2356,BEYOND,BEYOND
2357,RUGBY,RUGBY
2358,THE BRIEFCASE IS OPEN NOW,THE BRIEFCASE IS OPEN NOW
2359,WE SHOULD TRY TO SAVE THE WHALES,WE SHOULD TRY TO SAVE THE WHALES
2360,IMAGERY,IMAGERY
2361,LOYAL,LOYAL
2362,ONE,ONE
2363,CROSS,CROSS
2364,EIGHT,EIGHT
2365,YOU CAN SAVE WATER IN YOUR BATHTUB,YOU CAN SAVE WATER IN YOUR BATHTUB
2366,SHIRT,SHIRT
2367,SNAKE,SNAKE
2368,DIGESTED,DIGESTED
2369,PAY ALBERT FOR THE FRESH WATER,PAY ALBERT FOR THE FRESH WATER
2370,ALLOWING,ALLOWING
2371,HOOF,HOOF
2372,SPOONS,SPOONS
2373,YOUR SHADOW ALWAYS FOLLOWS YOU,YOUR SHADOW ALWAYS FOLLOWS YOU
2374,REAL,REAL
2375,NINE NINE SIX NINE SIX ONE ZERO,NINE NINE SIX NINE SIX NINE ONE ZERO
2376,EDGAR DOES NOT HAVE A JOB,EDGAR DOES NOT HAVE A JOB
2377,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
2378,TAB,TAB
2379,MEANINGLESS,MEANINGLESS
2380,DOUG THINKS HE WILL WIN THE RACE,DOUG THINKS HE WILL WIN THE RACEEIS NOT
2381,UPWARD,UPWARD
2382,PUSH,PUSH
2383,THURSDAY,THURSDAY
2384,UNDERNEATH,UNDERNEATH
2385,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2386,BREATH,TORISTS
2387,FLAGPOLE,FLAGPOLE
2388,PLAYHOUSE,PLAYHOUSE
2389,WHO WILL THE SOLDIER VOTE FOR,WHO WILL THE SOLDIER VOTE FOR
2390,HONEY CAN GET STICKY,HONEY CAN GET STICKY
2391,SCREWDRIVER,SCREWDRIVER
2392,STOOGES,STOOGES
2393,PUSH,PUSH
2394,UPWARD,UPWARD
2395,LAWYER,LAWYER
2396,MEANINGLESS,MEANINGLESS
2397,DOUG THINKS HE WILL WIN THE RACE,DOUG THINKS HE WILL WIN THE RACE
2398,EVEN YOUR EARS SWEAT IN A SAUNA,EVEN YOUR EARS SWEAT IN A SAUNA
2399,PATHETIC,PATHETIC
2400,SAN DIEGO IS VERY GREEN THIS YEAR,SAN DIEGO IS VERY GREEN THIS YEAR
2401,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
2402,THURSDAY,THURSDAY
2403,UNDERNEATH,UNDERNEATH
2404,SQUEEGEE,SQUEEGEE
2405,SCREWDRIVER,SCREWDRIVERSCREW
2406,WHO WILL THE SOLDIER VOTE FOR,WHO WILL THE SOLDIER VOTE FOR
2407,HONEY CAN GET STICKY,HONEY CAN GET STICKY
2408,BREATH,BREATH
2409,MOISTURE,MOISSTURE
2410,FLAGPOLE,FLAGPOLE
2411,PLAYHOUSE,PLAYHOUSE
